component_id,size_cells,centroid_px,centroid_py,centroid_map_x,centroid_map_y
55891,2,4982.5,1240.0,120.875,162.350
55897,2,5030.5,1240.0,123.275,162.350
55900,2,5046.5,1240.0,124.075,162.350
55901,2,5048.5,1240.0,124.175,162.350
55903,2,5054.5,1240.0,124.475,162.350
55925,2,5440.5,1240.0,143.775,162.350
56028,2,3457.0,1240.5,44.600,162.325
56050,2,3817.0,1240.5,62.600,162.325
56423,2,3687.0,1242.5,56.100,162.225
56451,2,3987.0,1242.5,71.100,162.225
56459,2,4037.0,1242.5,73.600,162.225
56986,2,3817.0,1244.5,62.600,162.125
57008,2,3947.0,1244.5,69.100,162.125
57278,2,5335.0,1244.5,138.500,162.125
57574,2,3637.0,1246.5,53.600,162.025
57610,2,3917.0,1246.5,67.600,162.025
57614,2,3947.0,1246.5,69.100,162.025
57617,2,3957.0,1246.5,69.600,162.025
57625,2,3997.0,1246.5,71.600,162.025
57629,2,4037.0,1246.5,73.600,162.025
58170,2,2834.5,1250.0,13.475,161.850
58172,2,2877.0,1250.0,15.600,161.850
58174,2,2922.5,1250.0,17.875,161.850
58176,2,2970.5,1250.0,20.275,161.850
58181,2,3097.5,1250.0,26.625,161.850
58182,2,3102.5,1250.0,26.875,161.850
58187,2,3140.5,1250.0,28.775,161.850
58197,2,3272.5,1250.0,35.375,161.850
58203,2,3430.5,1250.0,43.275,161.850
58204,2,3447.0,1250.0,44.100,161.850
58212,2,3517.5,1250.0,47.625,161.850
58213,2,3522.5,1250.0,47.875,161.850
58215,2,3540.5,1250.0,48.775,161.850
58217,2,3546.5,1250.0,49.075,161.850
58218,2,3560.5,1250.0,49.775,161.850
58219,2,3577.5,1250.0,50.625,161.850
58220,2,3587.0,1250.0,51.100,161.850
58223,2,3607.0,1250.0,52.100,161.850
58224,2,3610.5,1250.0,52.275,161.850
58237,2,3820.5,1250.0,62.775,161.850
58244,2,3852.5,1250.0,64.375,161.850
58245,3,3857.0,1250.0,64.600,161.850
58252,3,3897.0,1250.0,66.600,161.850
58254,3,3917.0,1250.0,67.600,161.850
58255,2,3932.5,1250.0,68.375,161.850
58256,3,3937.0,1250.0,68.600,161.850
58257,2,3950.5,1250.0,69.275,161.850
58258,2,3952.5,1250.0,69.375,161.850
58260,3,3957.0,1250.0,69.600,161.850
58261,2,3964.5,1250.0,69.975,161.850
58265,2,3977.5,1250.0,70.625,161.850
58267,2,3994.5,1250.0,71.475,161.850
58271,2,4022.5,1250.0,72.875,161.850
58272,2,4024.5,1250.0,72.975,161.850
58277,2,4060.5,1250.0,74.775,161.850
58282,2,4086.5,1250.0,76.075,161.850
58283,2,4110.5,1250.0,77.275,161.850
58290,2,4190.5,1250.0,81.275,161.850
58292,2,4200.5,1250.0,81.775,161.850
58293,2,4202.5,1250.0,81.875,161.850
58294,2,4206.5,1250.0,82.075,161.850
58297,2,4214.5,1250.0,82.475,161.850
58300,2,4230.5,1250.0,83.275,161.850
58302,2,4238.5,1250.0,83.675,161.850
58303,2,4240.5,1250.0,83.775,161.850
58304,2,4250.5,1250.0,84.275,161.850
58305,2,4264.5,1250.0,84.975,161.850
58306,2,4278.5,1250.0,85.675,161.850
58308,2,4282.5,1250.0,85.875,161.850
58309,2,4294.5,1250.0,86.475,161.850
58312,2,4306.5,1250.0,87.075,161.850
58314,2,4310.5,1250.0,87.275,161.850
58317,2,4324.5,1250.0,87.975,161.850
58318,2,4328.5,1250.0,88.175,161.850
58320,2,4336.5,1250.0,88.575,161.850
58322,2,4342.5,1250.0,88.875,161.850
58323,2,4346.5,1250.0,89.075,161.850
58327,2,4374.5,1250.0,90.475,161.850
58328,2,4376.5,1250.0,90.575,161.850
58330,2,4382.5,1250.0,90.875,161.850
58333,2,4392.5,1250.0,91.375,161.850
58335,2,4398.5,1250.0,91.675,161.850
58338,2,4406.5,1250.0,92.075,161.850
58339,2,4408.5,1250.0,92.175,161.850
58340,2,4412.5,1250.0,92.375,161.850
58342,2,4416.5,1250.0,92.575,161.850
58343,2,4418.5,1250.0,92.675,161.850
58345,2,4422.5,1250.0,92.875,161.850
58347,2,4430.5,1250.0,93.275,161.850
58352,2,4446.5,1250.0,94.075,161.850
58354,2,4452.5,1250.0,94.375,161.850
58355,2,4454.5,1250.0,94.475,161.850
58356,2,4456.5,1250.0,94.575,161.850
58357,2,4460.5,1250.0,94.775,161.850
58359,2,4466.5,1250.0,95.075,161.850
58361,2,4482.5,1250.0,95.875,161.850
58362,2,4486.5,1250.0,96.075,161.850
58363,2,4488.5,1250.0,96.175,161.850
58364,2,4506.5,1250.0,97.075,161.850
58367,2,4528.5,1250.0,98.175,161.850
58369,2,4536.5,1250.0,98.575,161.850
58371,2,4544.5,1250.0,98.975,161.850
58373,2,4550.5,1250.0,99.275,161.850
58374,2,4558.5,1250.0,99.675,161.850
58375,2,4564.5,1250.0,99.975,161.850
58376,2,4566.5,1250.0,100.075,161.850
58377,2,4568.5,1250.0,100.175,161.850
58378,2,4570.5,1250.0,100.275,161.850
58379,2,4574.5,1250.0,100.475,161.850
58380,2,4576.5,1250.0,100.575,161.850
58381,2,4578.5,1250.0,100.675,161.850
58382,2,4582.5,1250.0,100.875,161.850
58384,2,4590.5,1250.0,101.275,161.850
58386,2,4594.5,1250.0,101.475,161.850
58387,2,4596.5,1250.0,101.575,161.850
